Name,Years,Position,Party,State,Congress,Link
"HERNDON, William Smith",1835-1903,Representative,Democrat,TX,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000535
"HERSEY, Samuel Freeman",1812-1875,Representative,Republican,ME,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000545
"HITCHCOCK, Phineas Warren",1831-1881,Senator,Republican,NE,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000648
"HOAR, Ebenezer Rockwood",1816-1895,Representative,Republican,MA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000653
"HOAR, George Frisbie",1826-1904,Representative,Republican,MA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000654
"HODGES, Asa",1822-1900,Representative,Republican,AR,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000671
"HOLMAN, William Steele",1822-1897,Representative,Democrat,IN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000732
"HOOPER, Samuel",1808-1875,Representative,Republican,MA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000765
"HOSKINS, George Gilbert",1824-1893,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000801
"HOUGHTON, Sherman Otis",1828-1914,Representative,Republican,CA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000815
"HOWE, Albert Richards",1840-1884,Representative,Republican,MS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000850
"HOWE, Timothy Otis",1816-1883,Senator,Republican,WI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000856
"HUBBELL, Jay Abel",1829-1900,Representative,Republican,MI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000894
"HUNTER, Morton Craig",1825-1896,Representative,Republican,IN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000985
"HUNTON, Eppa",1822-1908,Representative,Democrat,VA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000999
"HURLBUT, Stephen Augustus",1815-1882,Representative,Republican,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001003
"HYDE, Ira Barnes",1838-1926,Representative,Republican,MO,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001023
"HYNES, William Joseph",1843-1915,Representative,Liberal Republican,AR,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001027
"INGALLS, John James",1833-1900,Senator,Republican,KS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000012
"JEWETT, Hugh Judge",1817-1898,Representative,Democrat,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000105
"JOHNSTON, John Warfield",1818-1889,Senator,Democrat,VA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000191
"JONES, John Percival",1829-1912,Senator,Republican,NV,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000237
"KASSON, John Adam",1822-1910,Representative,Republican,IA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000018
"KELLEY, William Darrah",1814-1890,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000062
"KELLOGG, Stephen Wright",1822-1904,Representative,Republican,CT,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000067
"KELLY, James Kerr",1819-1903,Senator,Democrat,OR,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000074
"KENDALL, Charles West",1828-1914,Representative,Democrat,NV,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000090
"KILLINGER, John Weinland",1824-1896,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000179
"KNAPP, Robert McCarty",1831-1889,Representative,Democrat,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000281
"LAMAR, Lucius Quintus Cincinnatus",1825-1893,Representative,Democrat,MS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000030
"LAMISON, Charles Nelson",1826-1896,Representative,Democrat,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000039
"LAMPORT, William Henry",1811-1891,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000042
"LANSING, William Esselstyne",1821-1883,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000088
